Urun_Adi,Piyasa_Fiyati_TL
MoonLight GTX1050Ti Nvidia GDDR5 128Bit Dvi.Hdmi.Display Çift Fan 4GB Gaming Ekran Kartı,5808
Radeon RX 9060 XT GAMING OC 16GB GDDR6 128Bit AMD Ekran Kartı-GV-R9060XTGAMING OC-16GD,22524
Windforce Max GeForce RTX 5060 OC 8GB GDDR7 128Bit HDMI/DP Ekran Kartı,18599
GeForce RTX 3050 VENTUS 2X E 6G OC 6GB GD6 Ekran Kartı,12609
ROG-ASTRAL-RTX5090-O32G-GAMING 32GB 512Bit GDDR7 DP/HDMI PCI 5.0 Ekran Kartı,249599
Arcade Hero M RX550 Amd GDDR5 128Bit Dvi.Hdmi Çift Fan 4GB Ekran Kartı (Box),4329
RTX 5060 TI 16G GAMING TRIO OC WHITE 16GB GDDR7 Uyumlu 128Bit DLSS 4 Gaming (Oyuncu) Ekran Kart,38499
GeForce RTX 5050 1-Click OC V2 8GB GDDR6 128 Bit DLSS 4 Ekran Kartı (55NSL8MHDXRE),15569
TUF Gaming GeForce RTX 5060 OC 8GB GDDR7 128Bit HDMI/DP Ekran Kartı,24299
GT710 4GB AF710-4096D3L7-V1 DDR3 64bit HDMI DP PCIe 16X v2.0,2099
GeForce RTX5050 GAMING OC GV-N5050GAMING OC-8GD GDDR6 8GB 128Bit Gaming (Oyuncu) Ekran Kart,17399
Radeon RX9060 XT PULSE GDDR6 16GB 128Bit FSR 4 AMD Ekran Kartı-11350-03-20G,21079
Geforce RTX5060 8GB GDDR7 128BIT 3xDP-HDMI (GEFORCE RTX 5060 GAMING TWIN EDGE) Ekran Kartı,17900
Vga Geforce Rtx 3050 Lp E 6g Oc Low Profile Genişletilmiş Versiyon,11799
